identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0006103685;ARKEMA FRANCE;2020;Air;1,1,1-trichloroéthane (TCE);4010;kg/an
0006400825;ARKEMA france;2020;Air;1,1,1-trichloroéthane (TCE);18800;kg/an
0006201759;ARKEMA;2020;Eau (indirect);1,2-dichloroéthane (DCE - chlorure d'éthylène);22.5;kg/an
0006400825;ARKEMA france;2020;Air;1,2-dichloroéthane (DCE - chlorure d'éthylène);1780;kg/an
0006400825;ARKEMA france;2020;Eau (indirect);1,2-dichloroéthane (DCE - chlorure d'éthylène);34.2;kg/an
0006400942;Kem One Lavera;2020;Air;1,2-dichloroéthane (DCE - chlorure d'éthylène);136000;kg/an
0006400942;Kem One Lavera;2020;Eau (indirect);1,2-dichloroéthane (DCE - chlorure d'éthylène);16.7;kg/an
0006400990;KEM ONE France;2020;Air;1,2-dichloroéthane (DCE - chlorure d'éthylène);86400;kg/an
0006400990;KEM ONE France;2020;Eau (direct);1,2-dichloroéthane (DCE - chlorure d'éthylène);64.1;kg/an
0007000534;SYNTHEXIM (Site Calaire);2020;Eau (indirect);1,2-dichloroéthane (DCE - chlorure d'éthylène);10;kg/an
0005902685;INOVYN France;2020;Air;1,2-dichloroéthane (DCE - chlorure d'éthylène);4930;kg/an
0005902685;INOVYN France;2020;Eau (direct);1,2-dichloroéthane (DCE - chlorure d'éthylène);50.2;kg/an
0006207145;ARKEMA;2020;Eau (direct);1,2-dichloroéthane (DCE - chlorure d'éthylène);35.2;kg/an
0010013356;ORGAPHARM consolidé (sites 1 et 2);2020;Air;1,2-dichloroéthane (DCE - chlorure d'éthylène);1270;kg/an
0006400955;NAPHTACHIMIE;2020;Air;1,3-butadiène;15200;kg/an
0006401008;Basell Polyoléfines France SAS;2020;Air;1,3-butadiène;16300;kg/an
0005800509;ORIL INDUSTRIE;2020;Air;1,4-dioxane;9880;kg/an
0006802267;SA PIERRE FABRE MEDICAMENT;2020;Air;1,4-dioxane;5880;kg/an
0005202342;TORAY CARBONS FIBERS EUROPE SA;2020;Air;Acide cyanhydrique (HCN);3380;kg/an
0006102435;LAFARGE CIMENTS;2020;Air;Acide cyanhydrique (HCN);686;kg/an
0006102824;VICAT;2020;Air;Acide cyanhydrique (HCN);899;kg/an
0006300908;LAFARGEHOLCIM CIMENTS (usine cimenterie);2020;Air;Acide cyanhydrique (HCN);1670;kg/an
0006301207;TOTAL Raffinage France;2020;Air;Acide cyanhydrique (HCN);51400;kg/an
0006401029;ESSO Raffinage SAS;2020;Air;Acide cyanhydrique (HCN);15400;kg/an
0006402211;Petroineos Manufacturing France SAS;2020;Air;Acide cyanhydrique (HCN);17700;kg/an
0006501169;TOTAL Raffinage France;2020;Air;Acide cyanhydrique (HCN);9260;kg/an
0006802598;LAFARGE CIMENTS;2020;Air;Acide cyanhydrique (HCN);214;kg/an
0007000720;Ferroglobe Manganèse France SAS;2020;Air;Acide cyanhydrique (HCN);788;kg/an
0006802505;ARKEMA;2020;Air;Acide cyanhydrique (HCN);6240;kg/an
0006114519;HEXCEL FIBERS;2020;Air;Acide cyanhydrique (HCN);292;kg/an
0005102147;SICA PULPE HAUTE PICARDIE;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);669;kg/an
0005201764;CHEMVIRON;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);413;kg/an
0005701177;LUZEAL;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);1460;kg/an
