identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0055301820;GAEC BRETONNIERE (DE LA);48099824400010;LA BRETONNIERE;53140;LA PALLU;MAYENNE;PAYS-DE-LA-LOIRE;458238.000000;6827919.000000;;0150Z;Culture et élevage associés;7.(a).(i);disposant de 40 000 emplacements pour la volaille
0007100733;Holcim Réunion;31086301400026;Lieu-dit Ma pensée;97412;Bras-Panon;REUNION;REUNION;364492.000000;7679076.000000;;2363Z;Fabrication de béton prêt à l'emploi;;
0006114521;GROS ENVIRONNEMENT;95450612700271;Roizon;38350;NANTES-EN-RATIER;ISERE;AUVERGNE-RHONE-ALPES;921987.000000;6428120.000000;2154;4941A;Transports routiers de fret interurbains;;
0006700462;PRODAIR ET CIE Strasbourg;35118603600023;72B QUAI JACOUTOT, Port aux Pétroles;67000;STRASBOURG;BAS-RHIN;GRAND-EST;1054399.000000;6844107.000000;2154;2011Z;Fabrication de gaz industriels;4.(b).(i);gaz, tels que ammoniac, chlore ou chlorure d'hydrogène, fluor ou fluorure d'hydrogène, oxydes de carbone, composés sulfuriques, oxydes d'azote, hydrogène, dioxyde de soufre, dichlorure de carbonyle
0005401210;YONNE DECAPAGE;37874536800027;20  rue du Quenou;89380;APPOIGNY;YONNE;BOURGOGNE-FRANCHE-COMTE;740087.000000;6751896.000000;2154;2561Z;Traitement et revêtement des métaux;;
0006704594;ADAM Noël;43015156300011;Route de Ruederbach, lieu-dit Nassacker;68560;HIRSINGUE;HAUT-RHIN;GRAND-EST;1021056.000000;6728641.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;;
0016500007;COVERIS FLEXIBLES FRANCE SA;70203737500038;Z.I. le Cantonnier;43290;MONTFAUCON-EN-VELAY;HAUTE-LOIRE;AUVERGNE-RHONE-ALPES;804758.000000;6453970.000000;2154;2221Z;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques;9.(c);Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an
0006204989;IKEA DISTRIBUTION FRANCE;35170529800021;RUE DU TROU AUX  SERPENTS;57140;LA MAXE;MOSELLE;GRAND-EST;932720.000000;6898777.000000;2154;5210B;Entreposage et stockage non frigorifique;;
0052900831;COMPAGNIE LAMPAULAISE DE SALAISON;82933510800025;1 RUE DE GALILEE;29500;ERGUE-GABERIC;FINISTERE;BRETAGNE;175377.000000;6789932.000000;2154;1013A;Préparation industrielle de produits à base de viande;;
0007003842;TECHNICENTRE HAUTS DE FRANCE UO Lille;51903758408713;Unité Opérationelle Voyageurs de Lille, 115 rue du Professeur Langevin;59000;LILLE;NORD;HAUTS-DE-FRANCE;706313.000000;7057763.000000;2154;4910Z;Transport ferroviaire interurbain de voyageurs;;
0051000149;PROMONTVAL (SCEA de);39021962400017;Montardoise;10150;MONTSUZAIN;AUBE;GRAND-EST;788350.000000;6819464.000000;2154;0146Z;Élevage de porcins;7.(a).(iii);disposant de 750 emplacements pour truies
0010600939;MANUFACTURE GENERALE DE JOINTS;66378021100012;37 RUE DU CLOS CHAPUIS, B.P. 6;69380;CHAZAY-D'AZERGUES;RHONE;AUVERGNE-RHONE-ALPES;831908.000000;6531460.000000;2154;2222Z;Fabrication d'emballages en matières plastiques;;
0055500459;SCEA du Pré aux Auges;42996565000014;ferme de Vieux Monthier, AUZECOURT;55800;NOYERS-AUZECOURT;MEUSE;GRAND-EST;844552.000000;6868969.000000;2154;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0005303583;COMMUNAUTE DE COMMUNES DU DOMFRONTAIS;20007152000015;CROIX DES LANDES, DOMFRONT;61700;DOMFRONT;ORNE;NORMANDIE;433101.000000;6836735.000000;2154;8411Z;Administration publique générale;;
0005209133;GAIA;49402440900422;Les Cabanasses - Menjourian;33650;SAINT-SELVE;GIRONDE;NOUVELLE-AQUITAINE;427187.000000;6400889.000000;2154;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;;
0053502694;SECANIM BRETAGNE (ex-SIFDDA);40326475700085;La Janais;35250;SAINT-GERMAIN-SUR-ILLE;ILLE-ET-VILAINE;BRETAGNE;354906.000000;6803364.000000;2154;3832Z;Récupération de déchets triés;;
0054500346;MARS PF;49488763100021;Boulevard des Chenâts CS 20001;45550;SAINT-DENIS-DE-L'HOTEL;LOIRET;CENTRE;633801.000000;6753637.000000;2154;1092Z;Fabrication d'aliments pour animaux de compagnie;8.(b).(i);matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
0005107970;VALNOR;74555011100421;Lieu dit Le Callouet;60190;GOURNAY-SUR-ARONDE;OISE;HAUTS-DE-FRANCE;677408.000000;6932579.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;;
0055602988;SCEA DE LICHOUET;43986375400016;Lichouët;56320;PRIZIAC;MORBIHAN;BRETAGNE;218790.000000;6789905.000000;2154;0150Z;Culture et élevage associés;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0005514565;ACOMEX;38825568900027;ZA de Joval II;35690;ACIGNE;ILLE-ET-VILAINE;BRETAGNE;363986.000000;6791528.000000;2154;3812Z;Collecte des déchets dangereux;;
0006108427;DEMOLITION AUTOMOBILE CROIX LUIZET;33458241800029;19, rue de l'épi de Blé;69100;VILLEURBANNE;RHONE;AUVERGNE-RHONE-ALPES;847883.000000;6521441.000000;2154;4511Z;Commerce de voitures et de véhicules automobiles légers;;
0005209600;SITCOM COTE SUD DES LANDES;25400197700035;Route d'Uza;40170;LEVIGNACQ;LANDES;NOUVELLE-AQUITAINE;-1.170022;44.013006;4326;3811Z;Collecte des déchets non dangereux;;
0053100349;REGIE MUNICIPALE ABATTOIR DE ST GAUDENS;21310483900260;Boulevard Leconte de Lisle;31800;SAINT-GAUDENS;HAUTE-GARONNE;OCCITANIE;515751.000000;6225817.000000;2154;1011Z;Transformation et conservation de la viande de boucherie;;
