code_insee;code_postal;commune;superficie;population;classe_potentiel;identifiant;departement;region;milieu;polluant;quantite;score_pollution;nb_usines_polluantes;score_traitement;score_final;lat;long
63402;63550;SAINT_VICTOR_MONTVIANEIX;4508.0;0.3;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;45.93811590518903;3.61132640920902
64012;64130;AINHARP;1431.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;43.25473886787848;-0.935719451957656
26027;26150;BARSAC;1582.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;44.72641161157575;5.304076177947098
2A108;20126;EVISA;6720.0;0.2;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;42.28525022904632;8.820396904179216
42205;42940;SAINT_BONNET_LE_COURREAU;5036.0;0.7000000000000001;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;45.655161946001186;3.926111600895566
28232;28240;MANOU;1361.0;0.6000000000000001;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.53638563478625;0.962933887077251
69063;69660;COLLONGES_AU_MONT_D'OR;381.0;3.8;3.0;6103593.0;RHONE;AUVERGNE-RHONE-ALPES;;;0.0;5e-08;1.2000000000000002;0.0;4.20000005;45.82204119141324;4.841931944597383
62761;62128;SAINT_MARTIN_SUR_COJEUL;343.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;50.22864782200462;2.851919793535168
61502;61360;VIDAI;158.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.46029122916525;0.37658145821119704
56219;56460;SAINT_GUYOMARD;1979.0;1.0;3.0;55603429.0;MORBIHAN;BRETAGNE;Air;Ammoniac (NH3);12700.0;0.0012699999999999999;0.0;0.0;3.00127;47.77934192534663;-2.502103749642248
68308;68290;SICKERT;512.0;0.3;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;47.79191192131076;6.985805893713708
58034;58120;BLISMES;2686.0;0.2;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;47.122905127653496;3.8214980941315773
27396;27850;MENESQUEVILLE;413.0;0.4;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;49.357400464572194;1.406844150260729
37115;37160;DESCARTES;3809.0;3.8;1.0;10000663.0;INDRE-ET-LOIRE;CENTRE;Eau (direct);Demande biologique en oxygène (DBO5);108000.0;0.0064800000000000005;5.699999999999999;0.0;6.706479999999999;46.99439642293911;0.696948012848664
54013;54450;AMENONCOURT;727.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.63007040028694;6.784435207674992
14407;14920;MATHIEU;939.0;1.9;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;49.25623399559906;-0.36673057240265
41192;41800;LES_ROCHES_L'EVEQUE;243.0;0.3;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;47.78610854086494;0.88757317847977
11175;11400;ISSEL;1822.0;0.5;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;43.367567961586666;1.998047929825119
58187;58440;MYENNES;714.0;0.6000000000000001;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;47.4543629223413;2.943703424470616
62084;62810;BARLY;612.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;50.24824623732699;2.538465482918867
28052;28130;BOUGLAINVAL;1447.0;0.7000000000000001;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.5606379302522;1.510116965614932
45234;45000;ORLEANS;2757.0;113.2;1.0;10010929.0;LOIRET;CENTRE;Air;Dioxyde de carbone (CO2) d'origine biomasse;72700000.0;14.54;0.30000000000000004;0.0;15.84;47.882863421380264;1.9161035747737611
51558;51130;SOULIERES;605.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.9038402771758;3.934401266236635
65214;65230;HACHAN;187.0;0.0;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;43.28481820425717;0.455050397796037
65131;65350;CASTELVIEILH;532.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;43.28109740795723;0.201372876533492
84067;84870;LORIOL_DU_COMTAT;1120.0;2.3;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;44.07535001011981;5.00514799731341
72062;72400;LA_CHAPELLE_DU_BOIS;1651.0;0.9;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.22700213133882;0.583491271516126
64446;64350;PEYRELONGUE_ABOS;868.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;43.41857566041727;-0.10155909868491401
17109;17220;CLAVETTE;630.0;1.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;46.14238137618907;-1.036601421282908
52170;52190;DOMMARIEN;1791.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;47.689229671112365;5.352838469824868
79356;79150;VOULTEGON;1760.0;0.6000000000000001;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;46.91196280112844;-0.524296790050046
59209;59127;ESNES;1459.0;0.7000000000000001;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;50.09538320006731;3.308481027047275
28286;28120;OLLE;1310.0;0.6000000000000001;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.38617131755302;1.296769100037492
80798;80260;VILLERS_BOCAGE;1420.0;1.4;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;50.00463851153842;2.322633118719215
22391;22350;YVIGNAC_LA_TOUR;3637.0;1.2;3.0;52206608.0;COTES-D'ARMOR;BRETAGNE;Air;Ammoniac (NH3);11000.0;0.0011;0.0;0.0;3.0011;48.34885273070685;-2.170940677619141
50006;50620;AMIGNY;366.0;0.1;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;49.156847076911674;-1.185256465118036
15266;15130;YOLET;988.0;0.6000000000000001;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;44.930748172620106;2.538268947804104
14453;14400;MOSLES;658.0;0.3;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;49.30545494848253;-0.8205231938250861
27205;27380;DOUVILLE_SUR_ANDELLE;452.0;0.4;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;49.332919885801296;1.307567744053729
87141;87310;SAINT_CYR;2123.0;0.7000000000000001;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;45.8021449265236;0.982111467463143
